"filename", "language", "C++", "Dart", "HTML", "JSON", "Markdown", "YAML", "Swift", "XML", "Properties", "Groovy", "comment", "blank", "total"
"g:\proyectos\Flutter app\dddd\fly_cliente\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"g:\proyectos\Flutter app\dddd\fly_cliente\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 23, 4, 30
"g:\proyectos\Flutter app\dddd\fly_cliente\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 5, 13, 72
"g:\proyectos\Flutter app\dddd\fly_cliente\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"g:\proyectos\Flutter app\dddd\fly_cliente\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 6, 2, 37
"g:\proyectos\Flutter app\dddd\fly_cliente\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"g:\proyectos\Flutter app\dddd\fly_cliente\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"g:\proyectos\Flutter app\dddd\fly_cliente\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"g:\proyectos\Flutter app\dddd\fly_cliente\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"g:\proyectos\Flutter app\dddd\fly_cliente\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"g:\proyectos\Flutter app\dddd\fly_cliente\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"g:\proyectos\Flutter app\dddd\fly_cliente\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"g:\proyectos\Flutter app\dddd\fly_cliente\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"g:\proyectos\Flutter app\dddd\fly_cliente\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"g:\proyectos\Flutter app\dddd\fly_cliente\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"g:\proyectos\Flutter app\dddd\fly_cliente\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"g:\proyectos\Flutter app\dddd\fly_cliente\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"g:\proyectos\Flutter app\dddd\fly_cliente\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"g:\proyectos\Flutter app\dddd\fly_cliente\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"g:\proyectos\Flutter app\dddd\fly_cliente\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"g:\proyectos\Flutter app\dddd\fly_cliente\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\Business_logic\Provaiders\book_flight_provider.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\Business_logic\Provaiders\flight_provider.dart", "Dart", 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30, 181
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\Business_logic\Provaiders\news_provider.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 47
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\Constants\contants.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\Constants\day_in_week.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\DataLayer\Models\book_flight.dart", "Dart", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37, 165
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\DataLayer\Models\flight_model.dart", "Dart", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 94
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\DataLayer\Models\news_model.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Pages\airline_info.dart", "Dart", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 76
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Pages\home_page.dart", "Dart", 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 224
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Pages\more_details_fly.dart", "Dart", 0, 333, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 349
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Pages\more_details_ofert.dart", "Dart", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 98
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Pages\search_page.dart", "Dart", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 74
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Pages\search_result.dart", "Dart", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 93
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Widgets\CustomWidget\customDrawer.dart", "Dart", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Widgets\CustomWidget\custom_appbar_row.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Widgets\CustomWidget\custom_card.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Widgets\CustomWidget\custom_circle_avatar.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Widgets\CustomWidget\custom_drawer.dart", "Dart", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 88
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Widgets\CustomWidget\custom_dropdown.dart", "Dart", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 74
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Widgets\ExpansionWidget\custom_dropdown.dart", "Dart", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 62
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Widgets\ExpansionWidget\search_filter.dart", "Dart", 0, 433, 0, 0, 0, 0, 0, 0, 0, 0, 10, 26, 469
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Widgets\SeparationWidget\line.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Widgets\SeparationWidget\separador.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Widgets\app_background_selection.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 43
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Widgets\fligthDetailWidgets\card_flight_details.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 60
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Widgets\fligthDetailWidgets\flight_details_body.dart", "Dart", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 96
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Widgets\fligthDetailWidgets\flight_details_footer.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 50
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Widgets\fligthDetailWidgets\flight_details_header.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 47
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Widgets\fligthDetailWidgets\separador_horizontal.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Widgets\imputField.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 19, 11, 68
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Widgets\information_card.dart", "Dart", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 101
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Widgets\weeked_day.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 60
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\UI\Widgets\widgets.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"g:\proyectos\Flutter app\dddd\fly_cliente\lib\main.dart", "Dart", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 55
"g:\proyectos\Flutter app\dddd\fly_cliente\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"g:\proyectos\Flutter app\dddd\fly_cliente\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"g:\proyectos\Flutter app\dddd\fly_cliente\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"g:\proyectos\Flutter app\dddd\fly_cliente\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"g:\proyectos\Flutter app\dddd\fly_cliente\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"g:\proyectos\Flutter app\dddd\fly_cliente\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 4, 13
"g:\proyectos\Flutter app\dddd\fly_cliente\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"g:\proyectos\Flutter app\dddd\fly_cliente\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"g:\proyectos\Flutter app\dddd\fly_cliente\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"g:\proyectos\Flutter app\dddd\fly_cliente\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"g:\proyectos\Flutter app\dddd\fly_cliente\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 52, 16, 96
"g:\proyectos\Flutter app\dddd\fly_cliente\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"g:\proyectos\Flutter app\dddd\fly_cliente\web\index.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 16, 6, 59
"g:\proyectos\Flutter app\dddd\fly_cliente\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
